#SampleID,Name,Location,Replicate,Salinity,Temp,Oyster-type,Type,Forward sequence count,Reverse sequence count,Notes
281-001,MOB 1-1,Mobile,MOB 1-1R1,9.8,22.7,Under,sediment,115776,115776,Mobile Bay under oyster
281-003,MOB 1-2,Mobile,MOB 1-2R2,9.8,22.7,Under,sediment,134137,134137,Mobile Bay under oyster
281-004,MOB 1-3,Mobile,MOB 1-3R3,9.8,22.7,Under,sediment,105316,105316,Mobile Bay under oyster
281-005,BLB 1-1,Bayou La Batre,BLB 1-1R1,19.8,23.9,Wild-polluted,sediment,91166,91166,"shoreline adjacent to wild oysters attached to rocks and likely polluted from sewage and possibly chemical contamination from boats, shipyards, and seafood processing facilities"
281-006,BLB 1-2,Bayou La Batre,BLB 1-2R2,19.8,23.9,Wild-polluted,sediment,96074,96074,"shoreline adjacent to wild oysters attached to rocks and likely polluted from sewage and possibly chemical contamination from boats, shipyards, and seafood processing facilities"
281-007,BLB 1-3,Bayou La Batre,BLB 1-3R3,19.8,23.9,Wild-polluted,sediment,117154,117154,"shoreline adjacent to wild oysters attached to rocks and likely polluted from sewage and possibly chemical contamination from boats, shipyards, and seafood processing facilities"
281-008,PVB 1-1,Portersville Bay,PVB 1-1R1,24.4,22.6,Wild ,sediment,113781,113781,Shore near tire; Rocks have wild oysters around 100/m2
281-009,PVB 1-2,Portersville Bay,PVB 1-2R2,24.4,22.6,Wild ,sediment,114230,114230,Shore near tire; Rocks have wild oysters around 100/m2
281-010,PVB 1-3,Portersville Bay,PVB 1-3R3,24.4,22.6,Wild ,sediment,115182,115182,Shore near tire; Rocks have wild oysters around 100/m2
281-011,PVB 2-1,Portersville Bay2,PVB 2-1R1,23.7,22.5,Aquaculture,sludge,118149,118149,Emerged shellevator under bags of aquaculture oysters 100/m2
281-012,PVB 2-2,Portersville Bay2,PVB 2-2R2,23.7,22.5,Aquaculture,sludge,130927,130927,Emerged shellevator under bags of aquaculture oysters 100/m2
281-013,PVB 2-3,Portersville Bay2,PVB 2-3R3,23.7,22.5,Aquaculture,sludge,100913,100913,Emerged shellevator under bags of aquaculture oysters 100/m2
